employee_id,product_id,note_projet
104,102,43.57057
108,101,14.574024
100,103,3.2284942
100,101,14.574024
102,103,3.2284942
107,105,11.404572
109,102,43.57057
104,101,14.574024
105,104,7.9928284
101,103,3.2284942
100,105,11.404572
101,101,14.574024
107,105,11.404572
106,104,7.9928284
104,103,3.2284942
104,105,11.404572
109,101,14.574024
108,103,3.2284942
106,105,11.404572
101,103,3.2284942
104,103,3.2284942
104,104,7.9928284
107,100,13.939179
100,104,7.9928284
105,104,7.9928284
103,100,13.939179
104,101,14.574024
109,101,14.574024
107,104,7.9928284
102,101,14.574024
104,102,43.57057
105,103,3.2284942
109,100,13.939179
104,100,13.939179
106,101,14.574024
108,102,43.57057
103,104,7.9928284
